id,title,href,price,area_m2,n_room,n_wc,district,city,published_date,image_path,Diện tích,Mức giá,description,lat,long,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
37777043,Quỹ 10 căn biệt thự song lập Ngọc Trai cần bán gấp tại Vinhomes ocean Park. LH: 0915 972 ***,/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/quy-10-can-song-lap-ngoc-trai-can-ban-gap-tai-lh-0915972886-pr37777043,19 tỷ,150.0,,,Gia Lâm,Hà Nội,2023-07-29,"['37777043-1.jpg', '37777043-2.jpg', '37777043-3.jpg', '37777043-4.jpg']",150 m²,19 tỷ,"Chính chủ cần tiền nên nhờ bán gấp biệt  thự song lập Ngọc Trai Vinhomes Ocean Park. Vị trí đẹp, giá tốt, pháp lý rõ ràng, sẵn sàng giao dịch.1. Khu Ngọc Trai.- Liền kề góc 94m: 18 tỷ.- Song lập 150m: 24 - 25 tỷ.- Song lập 142m: 22 - 23 tỷ.- Song lập 165m: 29.5 tỷ.- Song lập NT3, View vườn hoa: 36 tỷ.- Song lập 183m: 36 tỷ.- Đơn lập 288m: 47 tỷ.2. Khu San Hô.- Song lập 135m gần vườn hoa: 19.6 tỷ.- Song lập 150m gần hồ: 22 tỷ.- Song lập 133.5m Đông Nam: 20 tỷ.- Đơn lập 165m View hồ: 32 tỷ.- Shophouse SH6 đối diện VinUni: 29,x tỷ.3. Khu Hải Âu.- Đơn lập HA01 View trực diện hồ: 69 tỷ.- Đơn lập góc HA02 View biển: 81 tỷ.- Song lập 150m HA2: 24.5 tỷ.- Song lập 150m HA03: 19 tỷ.- Liền kề 100m HA02: 16.8 tỷ.- Liền kề 90m HA2: 16 tỷ.4. Khu Sao Biển.- Đơn lập 328m: 65 tỷ.- Song lập 148.5m: 20 tỷ.- Song lập 150m: 23 tỷ.- Liền kề 90m: 12,6 tỷ.- Shophouse 70m: 10 tỷ.Bên em còn nhiều căn quỹ ẩn vị trí đẹp, giá tốt. Anh chị liên hệ trực tiếp PKD  Dự án Vinhomes Ocean Park Gia Lâm để được hỗ trợ tốt nhất.Hotline: 0915 972 ***Văn phòng công ty Bất động sản Gia Hưng Realty.Địa chỉ: HA03 - 66 Vinhomes Ocean Park, Kiêu Kỵ, Gia Lâm, Hà Nội.",21.002415,105.96411,,,,,,,,,
31273174,"Chuyên bán căn hộ Vinhomes Grand Park giá rẻ quá 1PN + 1.6 tỷ, 2PN có 1.86 tỷ LH: 0919 099 ***Zalo)",/ban-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-vinhomes-grand-park/chuyen-mua-ban-chuyen-nhuong-vinmes-gia-tot-nhat-lh-0919099098-zalo-pr31273174,"1,15 tỷ",30.0,,,Quận 9,Hồ Chí Minh,2023-07-29,"['31273174-1.jpg', '31273174-2.jpg', '31273174-3.jpg', '31273174-4.jpg']",30 m²,"1,15 tỷ","Hiện tại công ty tôi chuyên quản lý, mua bán, chuyển nhượng tất cả những căn hộ tại dự án Vinhomes Grand Park giá tốt nhất thị trường.- Căn Studio:+ Diện tích: 30m² giá 1.150 tỷ net.+ Diện tích: 33m² giá 1.2 tỷ.+ DT 33 m² tòa S2.01 Giá bán 1.25 tỷ.+ DT 30m² tòa S1.07 giá bán 1.19 tỷ.+ DT 30 m² tòa S2.02 giá bán 1.19 tỷ.- Căn hộ 1 phòng ngủ.+ Diện tích 47m² giá 1.6 tỷ.+ Diện tích 47m² giá 1.650 tỷ.- Căn hộ 2 phòng ngủ 1 nhà vệ sinh:+ Diện tích: 59m² giá 1.860 tỷ.- Căn hộ 2 phòng ngủ 2 nhà vệ sinh:+ Diện tích 67m² giá 2.1 tỷ.- Căn hộ 2 phòng ngủ.+ Diện tích 69m² giá 2.3 tỷ net.- Căn hộ 3 phòng ngủ.+ Diện tích 81m² giá 2.6 tỷ net.Tiện ích nội khu:- Công viên ven sông lớn nhất ĐNA 36 hecta.- TTTM Vincom, khu mua sắm, rạp phim.- Siêu thị Vinmart, siêu thị điện máy Vinpro.- Hệ thống giáo dục Vinschool.- Khu vực ánh sáng phong cách Garden by the Bay (9 cây ánh sáng - cao 16 - 25m).- Bãi cỏ quảng trường chính rộng 2ha (20.000 m²).- Công viên BBQ dự kiến 150 chòi.- Đặc biệt thiết kế hệ thống sông nhân tạo - có bãi cát trắng - nước được xử lý sạch, cư dân có thể tắm thoải mái.- Gym ngoài trời 1000 máy được bố trí trải dọc xung quanh khu vực công viên.- Sông nhân tạo được phục vụ các môn đạp vịt, cano yake.- Đảo dưỡng sinh 2ha - yoga, thiền, cờ tướng được bố trí khắp đảo (100 bàn cờ).- Công viên, đường sách siêu dài.- Khu vui chơi trẻ em 5000m², thiết kế các vòi phun nước kèm ánh sáng như phố đi bộ Nguyễn Huệ.- Có các khu vực riêng dành cho các CLB Yoga, Aerrobic, nhảy đầm.- 170 sân bóng đá, tennis, bóng rổ các loại phục vụ cho cư dân VHGP.Quý khách có nhu cầu vui lòng liên hệ: 0919 099 *** để được tư vấn đưa đi xem nhà thực tế.",10.841423034668,106.840118408203,,,,,,,,,
37776887,CHÍNH CHỦ CẦN BÁN GẤP GIẢM NGAY 300TR,/ban-nha-mat-pho-duong-an-duong-vuong-phuong-16-1/chinh-chu-can-ban-gap-giam-ngay-300tr-pr37776887,"5,99 tỷ",180.0,4.0,5.0,Quận 8,Hồ Chí Minh,2023-07-29,"['37776887-1.jpeg', '37776887-2.jpeg', '37776887-3.jpeg', '37776887-4.jpeg']",180 m²,"5,99 tỷ","Chính chủ cần bán gấp nhà  mới xây như hình đt 4,5x12m. Gần chợ, trường học, siêu thị, cảng, công viên, cách ĐL Võ Văn Kiệt chỉ 300m!",10.723473,106.6198327,"4,5 m",7 m,Đông - Nam,Đông - Nam,4 tầng,4 phòng,5 phòng,Sổ hồng hoàn công đầy đủ,
35666413,"Căn hộ giá rẻ Q9, nhà mới, đã có sổ hồng, DT 57m2 giá 1.7 tỷ, 2PN góc 70m2 giá 2.3 tỷ 0908 005 ***",/ban-can-ho-chung-cu-duong-go-cat-phuong-phu-huu-2-prj-can-ho-ricca-quan-9/ro-hang-that-xem-nha-ngay-1pn-1-850-2pn-goc-70m2-2-5-ty-88m2-gia-2-7-ty-duplex-120m2-3-4-ty-pr35666413,"1,7 tỷ",57.0,2.0,1.0,Quận 9,Hồ Chí Minh,2023-07-29,"['35666413-1.jpg', '35666413-2.jpg', '35666413-3.jpg', '35666413-4.jpg']",57 m²,"1,7 tỷ","Cập nhật rổ hàng mới nhất chung cư Quận 9, căn hộ mới bàn giao, nhà mới, đã có sổ hồng từng căn.Liên hệ xem nhà liền, đầy đủ view, hướng cho khách chọn lựa xem nhà: Hotline: 0908 005 ***.Các căn bán hiện tại:- DT 57m², thiết kế 1PN + 1 nhà mới giá 1.7 tỷ.- DT 68m² có 2PN, 2WC giá 2.3 tỷ có nội thất.- DT 70m² căn góc 2PN, 2WC giá 2.350 tỷ.- DT 120m² duplex WC 3PN, 3WC thông tầng giá 3.650 tỷ.Tất cả đã có sổ hồng, giá trên đã bao gồm tất cả thuế phí, công chứng sang tên ngay. Ngân hàng hỗ trợ 70% giá bán.Xem nhà chìa khóa sẵn trong tay kể cả thứ 7 và chủ nhật.- Tiện ích: Siêu thị, gym, hồ bơi, BBQ..., Đầy đủ trong chung cư. Gần ngay trường học từ mẫu giáo đến cấp 3, siêu thị....Vị trí:- Về Q1 mất 15 phút, trung tâm Q2 mất 5 phút, Phú Mỹ Hưng Q7 mất 15 phút, dễ dàng kết nối di chuyển các tỉnh hay quận huyện trong TP.- Kề khu Công Nghệ Cao Quận 9.Liên hệ số điện thoại để nhận chìa khóa xem nhà thực tế 24/7.- Hotline: 0908 005 *** ( Tel - Zalo )",10.7846250534058,106.80054473877,,,,,,2 phòng,1 phòng,Sổ hồng,Đầy đủ.
37776698,"Sắp ra mắt dự án thấp tầng duy nhất trung tâm Hải Phòng năm 2023, HP Elite Central Hải Phòng",/ban-shophouse-nha-pho-thuong-mai-duong-bui-vien-phuong-dong-hoa-1-prj-hp-elite-central/sap-ra-mat-du-an-thap-tang-duy-nhat-trung-tam-hai-phong-nam-2023-hai-phong-pr37776698,"4,1 tỷ",60.0,,,Kiến An,Hải Phòng,2023-07-29,"['37776698-1.jpg', '37776698-2.jpg', '37776698-3.jpg', '37776698-4.jpg']",60 m²,"4,1 tỷ","Dự án HP Elite Central Hải Phòng thuộc quỹ đất thấp tầng ít ỏi còn lại của 4 quận trung tâm. Dự án tọa lạc tại mặt đường Bùi Viện, phường Đồng Hòa, quận Kiến An, thành phố Hải Phòng với quy mô 1,9 ha bao gồm 157 căn shophouse xây liền kề sở hữu pháp lý rõ ràng, sổ đỏ từng lô nên được giới đầu tư đánh giá cao. Tọa lạc tại vị trí vàng giữa giao lộ 2 tuyến đường huyết mạch của thành phố là Bùi Viện và Trường Chinh, dự án HP Elite Central Hải Phòng hứa hẹn trở thành sản phẩm lý tưởng cho các nhà đầu tư và khách hàng.1. Tổng quan dự án: Vị trí: Đại lộ Bùi Viện (giao với đường Trường Chinh), Tổ dân phố Đống Khê 1, phường Đồng Hòa, Kiến An, Hải PhòngQuy mô: 1,9 ha bao gồm 157 căn shophouse liền kề Pháp lý: Sổ đỏ từng lô Mật độ xây dựng:80 - 100%Diện tích liền kề : 60  70  80  120m2Tiêu chuẩn bàn giao: Xây thô hoàn thiện mặt ngoàiChủ đầu tư: Công ty cổ phần đầu tư Solaris Việt Nam2. Giá bán: 4,1 tỷ/lô3. Chính sách bán hàng: Hỗ trợ lãi suất 0% trong 12 tháng, tối đa 95% tổng giá trị tiền xây và hoàn thiện mặt ngoài, ân hạn nợ gốc 12 tháng từ đợt giải ngân đầu tiên.Chiết khấu 5% cho khách hàng không vayThanh toán linh hoạt 8 đợt, chiết khấu 2% khi mua 3 căn, 1% khi mua 2 căn. Liên hệ Hotline: 0363 526 ****Thông tin giá, chính sách công bố dự kiến",20.822019577026367,106.66484832763672,,,,,,,,Sổ đỏ/ Sổ hồng,
37775170,"Chính chủ cần bán nhà gần mặt đường Cầu Giấy. Ngay ngã tư Cầu Giấy - Trần Thái Tông, Hà Nội",/ban-nha-rieng-duong-cau-giay-phuong-dich-vong/chinh-chu-can-ban-gan-mat-ngay-nga-tu-tran-thai-tong-ha-noi-pr37775170,"5,2 tỷ",42.0,3.0,2.0,Cầu Giấy,Hà Nội,2023-07-29,"['37775170-1.jpg', '37775170-2.jpg', '37775170-3.jpg', '37775170-4.jpg']",42 m²,"5,2 tỷ","Nhà ở ngõ 353 Cầu Giấy, cách mặt đường Cầu Giấy 80m.Do gia đình tôi có bố mẹ ra ở cùng nên muốn đổi sang căn to rộng hơn, vì thế cần bán căn nhà riêng này.Nhà ở rất lộc lá, thoáng mát, sạch sẽ.Diện tích 42m².Nhà xây 4 tầng, 1 tum, có 1PK, 1 bếp, 3 PN 2WC.Trần tum xây dựng cẩn thận, cửa thoát hiểm đầy đủ.Ngay gần các trường ĐH như Báo Chí, Sư Phạm, Quốc Gia, Thương Mại, gần các trường cấp 1,2,3 như Dịch vọng A, B, Nghĩa Tân...Gần các bệnh viện lớn như BV E, Nhi TW, 198...Gần chợ, siêu thị... Vị trí cực kì trung tâm.Ngõ 2 xe máy tránh nhau, ngõ nông đi ra mặt đường khá gần ạ.Nhà có đầy đủ nội thất: Giường, tủ, điều hòa, nóng lạnh, tủ bếp, bếp từ...Chỉ việc xách mỗi vali quần áo là đến ở thoả thích.Giá bán: 5.2 tỷ (có thể thương lượng nếu khách thiện chí).Sổ đỏ chính chủ.Ms Ngọc Anh 0368 991 *** chính chủ.Miễn tiếp môi giới.",21.0347606,105.7945499,,,,,4 tầng,3 phòng,2 phòng,,
17601707,"Chuyên bán CH Vinhomes Central Park, CH 1 - 2 - 3 - 4PN giá tốt. Căn Landmark 81 giá tốt 0918 328 ***",/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-vinhomes-central-park/chuyen-ban-vinmes-2pn-gia-tot-nhat-lh-0918328348-pr17601707,"4,65 tỷ",86.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh,2023-07-29,"['17601707-1.jpg', '17601707-2.jpg', '17601707-3.jpg', '17601707-4.jpg']",86 m²,"4,65 tỷ","Rất hân hạnh được phục vụ quý khách hàng! Được tư vấn cho quý khách hàng lựa chọn được căn hộ đẹp và ưng ý là niềm hạnh phúc của em.Để tư vấn trực tiếp và biết thêm thông tin LH (viber, zalo) 0918 328 *** chuyên bán căn hộ Vinhomes Central Park).Quản lý 100% căn hộ Vinhomes Central Park bán giá tốt nhất thị trường!Cam kết giá thật 100%!* Căn 1 phòng ngủ.- DT 53.7 m² - Block L5 - full nthat. Giá 3.1 tỷ.- DT 53,3m² - block C2 - NT cơ bản. Giá 3,65 tỷ.- DT 53,7m² - block L4 - Full NT. Giá 3,15 tỷ.- DT 54,3m² - block P7 - Full NT. Giá 3,45tỷ.- DT 51m² - Block L6 - full nthat. Giá 4,2 tỷ.- DT 54m² - Block P1 - Full nthat 3.88 tỷ.LH 0918 328 ***.* Căn 2 phòng ngủ.- DT 91m² - Block P3 - Full NT. Giá 7,15 tỷ.- DT 90m² - Block P4 - Full NT. Giá 6,45 tỷ.- DT 83m² - Block P7 - NT cơ bản. Giá 4,5 tỷ.- DT 89m² - Block P2 - full nội thất. Giá 6,3 tỷ.- DT 84m² - Block C2 - Full NT. Giá 5,75 tỷ.- DT 91m² - Block P7 - Full NT. Giá 6,2 tỷ.- DT 83m² - Block L5 - NT cơ bản. Giá 4,5 tỷ.- DT 87m² - Block L2 - full nội thất. Giá 6,4 tỷ.- DT 85m² - Block C3 - Full NT. Giá 5,2 tỷ.- DT 90m² - Block C1 - Full NT. Giá 6,2 tỷ.- DT 83m² - Block L6 - NT cơ bản. Giá 5,5 tỷ.- DT 86m² - Block P6 - full nội thất. Giá 6,6 tỷ.- DT 88m² - Block P5 - Full NT. Giá 6,5 tỷ.- DT 85m² - Block L4 - Full NT. Giá 5,45 tỷ.- DT 62,5m - Block L3 - NT cơ bản. Giá 4 tỷ.- DT 86m² - Block LP - full nội thất. Giá 6,5 tỷ.- DT 86m² - Block LP - full cb Giá chỉ từ 4,65 tỷ.- DT 75m² - Block P1 - full nội thất. Giá 5,5 tỷ.- DT 87m² - Block L1 - NT cơ bản. Giá 6.5 tỷ.- DT 70m² - Block L81 - full nội thất. Giá 8 tỷ.LH 0918 328 ***.* Căn 3 phòng ngủ.- DT 112 m², căn góc, block LP, 7.5 tỷ.- DT 109m² - Block P3 - Full NT. Giá 9,15 tỷ.- DT 145m² - Block P5 - Full NT. Giá 14,5 tỷ.- DT 120m² - Block P7 - NT cơ bản. Giá 8,5 tỷ.- DT 116m² - Block P2 - full nội thất. Giá 9,3 tỷ.- DT 119m² - Block C2 - Full NT. Giá 7.9 tỷ.- DT 115m² - Block P1 - Full NT. Giá 8 tỷ.- DT 109m² - Block L5 - NT cơ bản. Giá 8,5 tỷ.- DT 126m² - Block L2 - full nội thất. Giá 11,5 tỷ.- DT 120m² - Block C3 - Full NT. Giá 7,2 tỷ.- DT 110m² - Block C1 - Full NT. Giá 8,2 tỷ.- DT 110m² - Block L6 - NT cơ bản. Giá 8,9 tỷ.- DT 120m - Block P6 - full nội thất. Giá 9,6 tỷ.- DT 118m - Block P4 - Full NT. Giá 9 tỷ.- DT 108m - Block L4 - Full NT. Giá 8,45 tỷ.- DT 94 m - Block L3 - NT cơ bản. Giá 7,1 tỷ.- DT 120m - Block LP - full nội thất. Giá 9,5 tỷ.- DT 98m - Block L1 - NT cơ bản. Giá 8.5 tỷ.- DT 120m - Block L81 - full nội thất. Giá 16 tỷ.LH 0918 328 ***.* Căn 4 phòng ngủ.- DT 155m - Block P6 - full nội thất. Giá 11,6 tỷ.- DT 146m - Block C2 - Full NT. Giá 13.9 tỷ.- DT 188m - Block P2 - Full NT. Giá 19.6 tỷ.- DT 188m - Block P3 - NT cơ bản. Giá 18,1 tỷ.- DT 165m - Block L1 - full nội thất. Giá 16,5 tỷ.- DT 150m - Block L6 - NT cơ bản. Giá 13.5 tỷ.- DT 180m - Block L81 - full nội thất. Giá 27 tỷ.LH 0918 328 ***.Vinhomes Central Park Nơi Hạnh Phúc Ngập Tràn!LH: Thu Phương 0918 328 ***.",10.7949285507202,106.720741271973,,,Nam,Đông - Nam,,2 phòng,2 phòng,,Full.
33142814,Bán lỗ nhiều biệt thự - shophouse Vinhomes Grand Park vị trí đẹp - LH 0938 703 ***,/ban-nha-biet-thu-lien-ke-phuong-long-thanh-my-prj-vinhomes-grand-park/quy-can-dep-nhat-gia-tot-nhat-t4-2022-htls-2023-lh-0898800822-pr33142814,15 tỷ,126.0,4.0,4.0,Quận 9,Hồ Chí Minh,2023-07-29,"['33142814-1.jpg', '33142814-2.jpg', '33142814-3.jpg', '33142814-4.jpg']",126 m²,15 tỷ,"* Chuyên bán biệt thự, nhà phố và tất cả các sản phẩm trong dự án Vinhomes Grand Park - Quận 9 - Thành phố Thủ Đức.- Giá tốt nhất, phù hợp với nhu cầu.- Vị trí đẹp.- Tiềm năng tăng giá cao.- Thủ tục nhanh gọn, rõ ràng.* Gọi ngay: 0938 703 ***zalo, viber) Mr Khoa cập nhật thị trường miễn phí xem nhà thực tế 24/7.Em gửi thông tin 1 số căn thị trường đang rao bán, giá bán đã bao gồm chi phí trong quá trình chuyển nhượng.* (Ngoài ra bên em còn một số căn tốt chưa rao trên thị trường, chi tiết anh chị LH riêng 0938 703 ***).Khu Manhattan.Nhà phố Manhattan 84m² (7x12m) giá 13.9 tỷ hot.Nhà phố Manhattan 108m² (9x12m) giá 17 tỷ.Nhà phố Manhattan 126m² (7x18m) giá 17 tỷ hot.Nhà phố Manhattan 144m² (10x18m) giá 25 tỷ. (lỗ 3 tỷ).Nhà phố Manhattan 162m² (9x18m) giá 23 tỷ.Nhà phố Manhattan 183m² giá 28 tỷ. (Vị trí siêu Vip).* Gọi ngay: 0938 703 *** Mr Khoa cập nhật thị trường miễn phí xem nhà thực tế 24/7.Boutique Villa rẻ nhất giá 28 tỷ hot.Khu Manhattan Glory.Nhà phố Glory 84m² (7x12m) giá 11.5 tỷ (vị trí đẹp) hot.Nhà phố Glory 96m² (8x12m) giá 13.5 tỷ (vị trí đẹp ngay gần D2A) hot.Nhà phố Glory 108m² (9x12m) giá 16 tỷ (vị trí đẹp, đường thông).Nhà phố Glory 126m² (7x18m) giá 17 tỷ (đường thông đẹp).Nhà phố Glory 126m² (7x18m) giá 15 tỷ HOT.Nhà phố Glory 144m² (8x18m) giá 17.5 tỷ (vị trí đẹp, bán lỗ 4 tỷ) hot.Nhà phố Glory 160m² (9x20m) giá 22 tỷ (view Hồ Bơi Malibu, view sông, xây full đất).Nhà phố NX - LP 176m² (8x22m) giá 35 tỷ (gần ngã 4 D2A).Nhà phố 176m² (8x22m) giá 22.7 tỷ (gần ngã 4 D2A). Bán lỗ 4 tỷ hot.* Gọi ngay: 0938 703 *** Mr Khoa cập nhật thị trường miễn phí xem nhà thực tế 24/7.Biệt thự song lập 200m² giá 22 tỷ.Biệt thự song lập 200m² giá 25 tỷ (view bến du thuyền).Biệt thự song lập 225m² giá 27 tỷ (view mặt hồ và Landmark 81).Biệt thự song lập compound 200m² giá 23 tỷ (view công viên).Biệt thự song lập 250 m² giá 25 tỷ (view sen súng). Hot.Biệt thự song lập 300m² giá 32 tỷ (view sen súng). Hot.* Gọi ngay: 0938 703 *** Mr Khoa cập nhật thị trường miễn phí và xem nhà thực tế 24/7.Biệt thự đơn lập 252m² giá 24,5 tỷ (view hồ, view L81).Biệt thự đơn lập 300m² giá 34 tỷ (đơn lập góc lỗ sâu) HOT.Biệt thự đơn lập khu Compound 293m² giá 30.5 tỷ. Hot.Biệt thự đơn lập khu Compound 252 m² giá 33 tỷ. (View sông, sen súng) hot.Biệt thự đơn lập 320m² giá 3x tỷ (view sông Tắc).Biệt thự đơn lập góc 390m² giá 4x tỷ (chốt nhanh, lỗ giá gốc).Biệt thự đơn lập 255m² giá 4x tỷ (View sông Tắc, có công viên ven sông).* Gọi ngay: 0938 703 *** Mr Khoa cập nhật thị trường miễn phí và xem nhà thực tế 24/7.Shop Villa NXLP 200m² giá 38 tỷ (đối diện khu Thương Mại Dịch Vụ).Shop Villa NXLP 200m² giá 33 tỷ (lỗ giá gốc).Boutique Villa D2A 243 m² Giá 47 tỷ.Tất cả các căn đều có hỗ trợ vay ngân hàng từ 65% - 80% giá bán.Gọi ngay: 0938 703 ***zalo, viber. ) Mr Khoa cập nhật thị trường miễn phí và xem nhà thực tế.Công ty VS HOMES.Văn Phòng Đại Diện: Tòa S502 Vinhomes Grand Park.",10.841423034667969,106.84011840820312,8 m,30 m,,,5 tầng,4 phòng,4 phòng,,
37740934,2 LÔ GÓC ĐẸP NHẤT TẠI DỰ ÁN RUE DE CHARME 214 NGUYỄN XIỂN. AI LÀ NGƯỜI MAY MẮN SỞ HỮU HOA HẬU,/ban-shophouse-nha-pho-thuong-mai-duong-nguyen-xien-xa-tan-trieu-prj-rue-de-charme/lo-goc-duy-nhat-dau-di-bo-doc-ton-du-an-214-xien-pr37740934,"37,9 tỷ",132.5,6.0,4.0,Thanh Trì,Hà Nội,2023-07-29,"['37740934-1.jpg', '37740934-2.jpg', '37740934-3.jpg', '37740934-4.jpg']","132,5 m²",286 triệu/m²,"Lô thường trong phố đi bộ 85 - 93m² giá khoảng 20 - 22 tỷ.Mặt đường hiện hữu 24,8-33 tỷ.1. Lô góc duy nhất 2 mặt tiền hơn 25m chiều dài 2 mặt tiền.2. Hai hướng rất đẹp: 1 mặt tiền Đông nam và 1 Đông Bắc. 1 Hướng Tây Nam, Tây Bắc.3. Cho thuê cực dễ giàng do vị trí đầu phố đi bộ vị trí duy nhất và đắc địa. Sau này sẽ là trung tâm check in của giới trẻ khi đến phố đi bộ.4. Phù hợp cho thuê đối với khách hàng kinh doanh quy mô lớn như (nhà hàng, bar pup).5. Căn góc số 1 duy nhất và vị trí số 1 nên hệ số tăng giá rất cao khi phố đi bộ hiện hữu. Được ví như những căn góc của đầu phố đi bộ Tạ Hiện và Nguyễn Huệ Sài Gòn. Sun Lào Cai Sa Pa vv...6. Khi muốn bán lại độc tôn về giá do số lượng là duy nhất ko có đối thủ cạnh tranh.Rue De Charme 214 Nguyễn Xiển (KĐT mới Hạ Đình) tâm điểm khu đất ""vàng"", không chỉ đẹp mà còn siêu Hiếm. Với tổ hợp dự án liền kề, shophouse chỉ hữu hạn với 118 lô sản phẩm trong tổng thể khu đô thị Hạ Đình đã hoàn thiện hạ tầng quy hoạch hiện đại, dân cư kinh doanh sầm uất, Rue de charme 214 Nguyễn Xiển, được Chủ đầu tư chau chuốt tỉ mỉ từng chi tiết nhỏ nhất trong phương án thiết kế xây dựng.- Vị trí cực đẹp, mặt đường rộng từ 11.5m đến 30m, thuộc Khu đô thị Hạ Đình có đầy đủ tiện ích All - in - one, cách ngã tư Nguyễn Trãi - Nguyễn Xiển 300m. Đường Vành đai 3 trên cao 500m.Cực Thuận tiện khi di chuyển lên Phố Thông qua trục Nguyễn trãi. Đặc biệt kết nối đi các tỉnh thành thuộc vành đai 3 trên cao mà khôn hề tắc đường khi di chuyển về các tỉnh: Ninh Bình, Hà nam, Hưng Yên, Hải Dương, vvvvvv Bắc Ninh, Bắc Giang.- Lên Đường vành đai 3 trên cao hướng Cao tốc Thăng Long Phạm Hùng, Nôi Bài đi các Tỉnh Thuộc Tây Bắc: Hòa Bình, Sơn La, Vĩnh Phúc, Phú Thọ, Lào cai, vvvvv Cực kỳ thuận tiện. Rất phù hợp với các Quý khách hàng thuộc địa bàn các tỉnh Thành trên.- Tiềm năng tăng giá tương lai khi dự án được bao quanh bởi 2 trục đường lớn sắp quy hoạch 30m Lương Thế Vinh kéo dài và đường 250 Nguyễn Xiển.- Diện tích đất 85 - 180m xây dựng đến 90% diện tích đất, mặt tiền rộng thoáng 5.5m - 8m, xây theo phong cách tân cổ điển 5 tầng 1 tum.- Tiện ích xung quanh dự án: Trường học, TTTM 5 tầng, bệnh viện đa khoa, công viên cây xanh, khu chung cư cao 25 tầng.- Pháp lý minh bạch đầy đủ Sổ đỏ sở hữu lâu dài.- Những lý do Quá nhiều khách hàng mua dự án làm dậy sóng Thị trường BĐS: Rue de Charme - 214 Nguyễn Xiển - Hà Nội:+ Dự án sở hữu Phố đi bộ sầm uất The Carnaby 214 là nơi kinh doanh trung tâm Quận Thanh Xuân và Thanh Trì, được duy trì và quản lý vận hành bền bỉ trong tương lai, khai trương vào 2/9/2023.+ Dự án có chính sách bán hàng hấp dẫn, chiết khấu tới 6.6% khi khách hàng thanh toán sớm hoặc hỗ trợ 0% trong vòng 12 tháng với khoản vay 65% giá trị sản phẩm.+ Dự án mà Quý khách hàng được tặng 05 năm phí quản lý vận hành khi mua sản phẩm trong tháng 7.+ Sở hữu một sản phẩm thấp tầng nội đô luôn là mơ ước của tất cả mọi người và tiềm năng tăng giá bền vững.- Liên hệ: Chuyên Gia Tư vấn BĐS - TGĐ MLAND Pro Mr Thành: 0936 356 ***",20.9872455596924,105.805923461914,25 m,,Đông - Nam,Đông - Nam,5 tầng,6 phòng,4 phòng,Hợp đồng mua bán,
37775110,"Bán nhanh đơn lập góc Ngọc Trai 3 mặt thoáng, 320m2 trục đường lớn nhất sát công viên, bể bơi 5x tỷ",/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-nhanh-don-lap-goc-ngoc-trai-3-mat-thoang-320m2-truc-lon-nhat-sat-cong-vien-be-boi-5x-ty-pr37775110,50 tỷ,320.0,,,Gia Lâm,Hà Nội,2023-07-29,"['37775110-1.jpg', '37775110-2.jpg', '37775110-3.jpg', '37775110-4.jpg']",320 m²,50 tỷ,"Gia đình tôi cần bán nhanh căn đơn lập góc trước ý định mua để ởNay gia đình chuyển đổi sản xuất nên cần bán nhanh giá tốt cho khách thiện chíCăn biệt thự đơn lập góc nằm trên trục đường chính, đường to nhất khu, giao thông thuận tiện, đỗ xe oto thoải mái, gần công viên, bể bơi, tiện ích đầy đủ xung quanh nhà- Diện tích: 320m2-  Xây: 135m²/ sàn- Hướng: Tây bắc, tây nam- Xây 3,5 tầng 360m2- Mặt tiền nhà 35m, 4 mặt sân vườn bao quanh căn biệt thự rất đẹp, nhà đã xem phong thủy không lỗi, đất vượng khí.Nay gia đình muốn bán nhanh giá 5x tỷKhách thiện chí mua alo để chốt giá : 0947 633 ***",21.002415,105.96411,,,Tây - Bắc,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng,
